customer name,customer e-mail,annual Salary,credit card debt,net worth,car model,Fuel,Brand,No. of seats,Transmission,Mileage,Car purchase amount
Martina Avila,cubilia.Curae.Phasellus@quisaccumsanconvallis.edu,202812,11609,238905,medium,Petrol,TATA,4,Automatic,16,653210
Harlan Barnes,eu.dolor@diam.co.uk,212812,95728,1039078,medium,Diesel,TOYOTA,5,Automatic,15,1053210
Naomi Rodriquez,vulputate.mauris.sagittis@ametconsectetueradipiscing.co.uk,222812,11160,1039078,top,Diesel,MAHINDRA,5,Automatic,15,1383210
Jade Cunningham,malesuada@dignissim.com,232812,14425,1039078,top,Diesel,MAHINDRA,7,Automatic,17,1383210
Cedric Leach,felis.ullamcorper.viverra@egetmollislectus.net,232812,53589,1039078,top,Diesel,MAHINDRA,7,Automatic,17,1383210
Carla Hester,mi@Aliquamerat.edu,232812,14179,1039078,base,Diesel,MAHINDRA,4,Automatic,14,1383210
Griffin Rivera,vehicula@at.co.uk,242812,59188,1039078,top,Diesel,MAHINDRA,7,Automatic,15,1383210
Orli Casey,nunc.est.mollis@Suspendissetristiqueneque.co.uk,242812,10956,629311,medium,Petrol,TATA,4,Manual,15,653210
Marny Obrien,Phasellus@sedsemegestas.org,242812,34409,630054,medium,Petrol,TATA,4,Manual,15,653210
Rhonda Chavez,nec@nuncest.com,262812,12888,1076644,top,Diesel,MAHINDRA,5,Automatic,17,1553210
Jerome Rowe,ipsum.cursus@dui.org,262812,82709,612731,medium,Petrol,MARUTI,5,Manual,16,653210
Akeem Gibson,turpis.egestas.Fusce@purus.edu,155421,10014,293863,medium,Petrol,MARUTI,4,Manual,16,363210
Quin Smith,nulla@ipsum.edu,155421,10292,430973,medium,Petrol,MARUTI,4,Manual,15,363210
Tatum Moon,Cras.sed.leo@Seddiamlorem.ca,155521,94688,420002,medium,Petrol,MARUTI,4,Manual,15,363210
Sharon Sharpe,eget.metus@aaliquetvel.co.uk,155421,10597,1046365,top,Diesel,TOYOTA,5,Automatic,16,1295100
Thomas Williams,aliquet.molestie@ut.org,155521,11334,1046365,top,Diesel,TOYOTA,6,Automatic,15,1295100
Blaine Bender,ultrices.posuere.cubilia@pedenonummyut.net,155421,11495,1046365,top,Diesel,TOYOTA,6,Automatic,15,1295100
Stephen Lindsey,erat.eget.ipsum@tinciduntpede.org,155491,12589,549486,base,Petrol,TATA,4,Manual,17,530170
Sloane Mann,at.augue@augue.net,155401,7377,431098.9998,base,Petrol,TATA,4,Manual,15,530170
Athena Wolf,volutpat.Nulla.facilisis@primis.ca,170887,13247,2066026,medium,Diesel,MAHINDRA,7,Manual,19,1330170
Blythe Romero,Sed.eu@risusNuncac.co.uk,170487,11878,1666026,top,Diesel,MAHINDRA,7,Automatic,17,1530170
Zelenia Byers,auctor.non@sapien.co.uk,170887,10928,1666026,top,Diesel,MAHINDRA,5,Automatic,18,1530170
Nola Wiggins,Aliquam@augue.edu,170887,7694,1666026,top,Diesel,MAHINDRA,5,Automatic,17,1530170
Micah Wheeler,arcu.eu@tincidunt.org,170887,11967,1666026,top,Diesel,MAHINDRA,5,Automatic,19,1530170
Caryn Hendrix,condimentum.Donec@duiCum.com,170887,8123,499042,base,Petrol,TATA,4,Manual,17,434020
Hedda Miranda,scelerisque@magnased.com,170887,17807,1129297,top,Diesel,TOYOTA,5,Automatic,17,1034020
Ulric Lynn,sociis@vulputateveliteu.com,170887,13105,1115707,top,Diesel,TOYOTA,4,Automatic,17,1071610
Alma Pope,Nunc.mauris.Morbi@turpis.org,613819,14271,341697,medium,Petrol,KIA,6,Manual,16,620091
Gemma Hendrix,lobortis@non.co.uk,100000,17459,188078,medium,Petrol,KIA,6,Manual,17,620091
Castor Wood,velit.Pellentesque@Nulla.net,254354,12552,583276,medium,Petrol,KIA,6,Manual,18,620091
Herman Stevenson,sociosqu.ad.litora@erat.com,139628,9371,319833,medium,Petrol,TATA,6,Manual,16,620091
Adrienne Bolton,dictum@magnaPraesent.ca,139628,13417,,base,Petrol,TATA,4,Manual,16,446050
Dahlia Cleveland,tincidunt.tempus@idsapien.co.uk,139628,8093,,base,Petrol,TATA,4,Manual,14,446050
Keane Browning,Curabitur@acipsumPhasellus.co.uk,139628,11412,,base,Petrol,TATA,4,Manual,15,446050
Quon Hull,nascetur.ridiculus.mus@dignissim.co.uk,139628,7985,,base,Petrol,TATA,4,Manual,15,446050
Coby Charles,nec@dolornonummyac.com,139628,12258,,base,Petrol,TATA,4,Manual,15,446050
Amery Cortez,semper.et.lacinia@Morbiquisurna.ca,139628,7471,,base,Petrol,TATA,4,Manual,15,446050
Uriel Bradshaw,ultrices@Integersemelit.com,139628,10914,,base,Petrol,TATA,4,Manual,15,446050
Fredericka Sanders,Curabitur@Infaucibus.ca,139628,8839,,base,Petrol,TATA,4,Manual,15,446050
Christopher Stevens,blandit.enim@lacusvariuset.org,100951,4496,379152,medium,Diesel,KIA,5,Manual,16,804809
Rachel Ashley,tincidunt.tempus.risus@posuerecubiliaCurae.co.uk,100951,9183,513347,medium,Diesel,KIA,5,Manual,16,804809
Lael Wright,a@consequatpurusMaecenas.com,100951,12491,410647,medium,Diesel,KIA,5,Manual,16,804809
Ryder Shaffer,Phasellus.dapibus.quam@inhendrerit.ca,100951,13332,348833,medium,Diesel,KIA,5,Manual,16,804809
Eric Noel,lacinia.at.iaculis@Fuscefermentumfermentum.edu,100951,10815,299348,medium,Diesel,KIA,5,Manual,16,804809
Tamara Guy,nec.eleifend@orci.org,100951,14249,499933,medium,Diesel,KIA,5,Manual,16,804809
Quincy Bell,in@Duisgravida.co.uk,100951,10155,4853932,top,Petrol,AUDI,5,Automatic,18,4459080
Lee Taylor,Vivamus.nisi.Mauris@miAliquam.co.uk,100951,11676,4753932,top,Petrol,AUDI,5,Automatic,18,4459080
Kenneth Pope,vitae.sodales.at@molestiearcuSed.org,507472,2234,4953932,top,Diesel,AUDI,5,Automatic,18,4459080
Reese Vance,egestas@malesuadavelvenenatis.com,507472,7097,5053932,top,Diesel,AUDI,6,Automatic,18,4459080
Quon Carroll,sodales@pharetra.com,527372,7918,5053932,top,Diesel,AUDI,7,Automatic,18,4659080
Magee Davidson,Quisque@tempor.net,547472,11028,4051845,top,Diesel,AUDI,7,Automatic,18,4659080
